Repetition,Max_CPU_Usage_us
1,0.2
1,0.2
2,0.2
2,0.0
3,0.2
3,0.2
4,1.6
4,0.0
5,0.2
5,0.2
6,1.6
6,0.2
7,1.6
7,0.2
8,1.6
8,0.0
9,0.2
9,0.2
10,1.6
10,1.6
11,1.6
11,0.2
12,1.6
12,0.2
13,0.2
13,0.2
14,0.2
14,0.2
15,1.6
15,1.6
16,1.6
16,0.2
17,1.6
17,0.2
18,1.6
18,0.0
19,0.2
19,0.2
20,1.6
20,0.2
21,1.6
21,0.0
22,1.6
22,0.2
23,1.6
23,0.2
24,1.6
24,0.2
25,0.2
25,0.2
26,1.6
26,0.2
27,1.6
27,0.2
28,1.6
28,0.2
29,1.6
29,0.2
30,0.2
30,0.2
1,0.2
1,0.2
2,0.2
2,0.2
3,1.6
3,0.2
4,1.6
4,0.2
5,0.2
5,0.2
6,1.6
6,0.2
7,1.6
7,0.0
8,0.2
8,1.6
9,1.6
9,0.2
10,1.6
10,1.6
11,0.0
11,0.2
12,1.6
12,0.2
13,1.6
13,1.6
14,0.2
14,0.0
15,0.2
15,0.0
16,0.2
16,1.6
17,0.2
17,0.2
18,0.2
18,0.0
19,1.6
19,0.2
20,0.2
20,0.2
21,1.6
21,0.2
22,1.6
22,0.2
23,1.6
23,0.0
24,3.2
24,0.2
25,1.6
25,0.2
26,0.2
26,0.2
27,0.2
27,1.6
28,0.2
28,0.2
29,1.6
29,0.2
30,1.6
30,0.2
1,1.6
1,1.6
2,0.2
2,0.2
3,0.2
3,0.0
4,1.6
4,0.2
5,1.6
5,0.0
6,1.6
6,0.2
7,1.6
7,0.2
8,1.6
8,0.2
9,1.6
9,0.2
10,1.6
10,0.2
11,0.2
11,1.6
12,1.6
12,1.6
13,1.6
13,0.0
14,1.6
14,0.2
15,1.6
15,0.2
16,1.6
16,0.2
17,1.6
17,1.6
18,1.6
18,0.2
19,1.6
19,0.2
20,1.6
20,1.6
21,1.6
21,0.2
22,1.6
22,0.2
23,1.6
23,0.2
24,0.5
24,0.2
25,0.5
25,0.2
26,1.6
26,1.6
27,1.6
27,0.2
28,1.6
28,0.2
29,1.6
29,0.0
30,1.6
30,1.6
